"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","485","382","48.5","38.2"
"scientific reasoning","122","90","54","73.77049180327869","44.26229508196721"
"textbook question answering","158","104","75","65.82278481012658","47.46835443037975"
"numeric commonsense","144","42","38","29.166666666666668","26.38888888888889"
"arithmetic reasoning","353","102","133","28.89518413597734","37.6770538243626"
"visual question answering","179","95","65","53.072625698324025","36.312849162011176"
"geometry reasoning","239","163","84","68.20083682008368","35.146443514644346"
"algebraic reasoning","281","189","98","67.25978647686833","34.87544483985765"
"geometry problem solving","208","153","70","73.5576923076923","33.65384615384615"
"math word problem","186","22","72","11.827956989247312","38.70967741935484"
"logical reasoning","37","17","4","45.94594594594595","10.81081081081081"
"figure question answering","269","111","100","41.2639405204461","37.174721189591075"
"statistical reasoning","301","108","138","35.880398671096344","45.84717607973422"
